gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
XKR8,-+-+,0.00577706,0.07577852140015852,0.38193802359590207,1,0.15155704280031704
RAB10,+---,0.071037547,0.7934824922920294,0.07583051060624772,-1,0.15166102121249544
MYT1L,++--,0.010057022,0.07585362450285478,0.08120085396100978,1,0.15170724900570956
MPV17L,++-+,0.01789279,0.07588783700824372,0.7812599186138098,1,0.15177567401648745
PTPRE,+--+,0.021608895,0.07589518872567706,0.24682971082956118,1,0.15179037745135412
C1orf151,-++-,0.067105243,0.0759672784897726,0.49388430519233173,1,0.1519345569795452
RELL2,+---,0.104238951,0.8837604830990603,0.07598850000890109,-1,0.15197700001780218
SMAP2,++-+,0.003012734,0.23937831576949858,0.07601239095659976,-1,0.1520247819131995
ZNF415,----,0.209424813,0.9910131834112706,0.0760621945097606,-1,0.1521243890195212
ATP6V1C1,-+--,0.030391292,0.7471938566065659,0.07606816412331505,-1,0.1521363282466301
MARCH9,+--+,0.015164045,0.07617865930384934,0.7473316213660788,1,0.1523573186076987
XAF1,--+-,0.03771339,0.38901028312187363,0.07618570391949517,-1,0.15237140783899034
SCYL1,-+-+,0.006742978,0.07620964566954982,0.10591706672595122,1,0.15241929133909965
B4GALT7,----,0.128849157,0.9869076672935844,0.07625800271649216,-1,0.15251600543298433
TRPC4AP,+-+-,0.006568633,0.07627334268002249,0.09680053860195525,1,0.15254668536004498
CIB2,++++,0.223259738,0.07627637850085019,0.9911027808549925,1,0.15255275700170037
PLS3,--+-,0.07864485,0.873008973584653,0.07629747115171814,-1,0.1525949423034363
KRTCAP2,-+++,0.028579401,0.0762987256179088,0.7202820075486656,1,0.1525974512358176
AGRN,+-++,0.148303839,0.07630728539890347,0.7798465562547608,1,0.15261457079780694
TCF12,--++,0.012622753,0.5537978929827179,0.07635162047387174,-1,0.15270324094774348
TBK1,+++-,0.054845974,0.07644014845206552,0.9357678380418932,1,0.15288029690413105
TBC1D1,++-+,0.024247566,0.07645230807896757,0.29426116327868995,1,0.15290461615793513
DCLRE1B,-+++,0.101678184,0.076453389843124,0.8676793394712187,1,0.152906779686248
S100PBP,+-+-,0.026206929,0.07646175763585147,0.10788793077061298,1,0.15292351527170295
MAP3K12,-++-,0.012001404,0.07650889484279927,0.4855993736481128,1,0.15301778968559854
