gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MRPS34,+-+---,0.137919195,0.19349325905116402,0.9621739504531052,1,0.38698651810232804
MAP4K2,+++-+-,0.090510112,0.08441801369607527,0.7967720770464605,1,0.16883602739215053
CYB5R1,++-+++,0.24065618,0.9354520587699522,0.21083042071143065,-1,0.4216608414228613
SH3BP4,----++,0.050808614,0.9916764593794473,0.029534774098782947,-1,0.059069548197565894
DARS,----++,0.078175936,0.9546463493111587,0.04927906408306472,-1,0.09855812816612944
TMTC3,-++--+,0.043687547,0.4206612271152558,0.32628595442770303,-1,0.6525719088554061
ADCY9,+++---,0.15578015,0.01761651461508175,0.9995857174363179,1,0.0352330292301635
PRPF19,++--++,0.070399906,0.7396375568382791,0.26363923726840216,-1,0.5272784745368043
ADCY8,++--++,0.166358521,0.3879137703766326,0.687653202044326,1,0.7758275407532652
TMEM101,--+--+,0.237065918,0.33848152575507684,0.840237370345263,1,0.6769630515101537
