gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
TPMT,+-++,++-++-++,+++-++,9.034143908642803e-5,0.9994215385349564,+,1.81e-4,2.40824e-4,0.0486,1
ARHGEF10L,+-+-,-++-++++,+++-++,9.074644631324564e-5,0.9205864826831875,+,1.81e-4,0.011266292,0.0488,1
ORAI1,--+-,++++++++,NA,9.294544214592576e-5,0.9115762001630022,+,1.86e-4,0.009650818,0.05,1
SPATC1L,+--+,++++++++,+++--+,9.369253654938227e-5,0.9818645163748763,+,1.87e-4,0.001343689,0.0504,1
RPL36,--+-,+++-++++,-+----,9.372992056609207e-5,0.2957550444677478,+,1.87e-4,2.28312e-4,0.0504,1
KCTD1,+-++,----+-+-,-+----,0.8210752150850479,9.712082626383587e-5,-,1.94e-4,0.003428933,0.0523,1
IMP4,+-+-,-++-++++,++----,9.786852600808448e-5,0.48909155873312743,+,1.96e-4,4.99604e-4,0.0527,1
NR4A2,----,--------,---+++,0.8848679184095614,9.818464525285452e-5,-,1.96e-4,0.016457584,0.0528,1
LONRF1,++++,--------,+-+---,0.813023925246675,9.938555819745718e-5,-,1.99e-4,0.004010672,0.0535,1
NRG4,++++,----++++,NA,9.940841841095303e-5,0.7402141954790885,+,1.99e-4,0.011336815688881272,0.0535,1
ZNF30,++++,++++++-+,++++-+,1.0040057531527127e-4,0.9996363258019118,+,2.01e-4,0.003216056,0.054,1
BDNF,+---,------+-,------,0.9999973505057882,1.0198355050149686e-4,-,2.04e-4,0.012750094,0.0549,1
CLCN3,-++-,++++----,---+-+,0.6006686912697932,1.0241583543126388e-4,-,2.05e-4,8.88109e-4,0.0551,1
